Date,Close,Open,High,Low
5/7/2020,117.34,119.03,119.3,116.97
5/6/2020,119.22,119.28,120.07,118.48
5/5/2020,118.65,119.43,120.33,118.54
5/4/2020,117.77,116.94,118.06,115.56
5/1/2020,117.96,119.24,119.51,117.49
4/30/2020,121.53,122.46,123.19,121.2
4/29/2020,124.56,124.74,125.16,123.44
4/28/2020,122.22,123.92,124.09,121.36
4/27/2020,121.88,121.53,122.91,121.44
4/24/2020,120.72,118.48,120.99,116.89
4/23/2020,117.46,115.73,119.08,115.3
4/22/2020,115.48,116.02,116.47,113.78
4/21/2020,113.01,110.34,113.39,108.46
4/20/2020,116.55,115.33,118.92,114.35
4/17/2020,116.27,115.47,116.53,114.14
4/16/2020,112.02,115.19,115.91,110.75
4/15/2020,114.88,115.3,116.33,113.01
4/14/2020,119.93,119.5,121.16,118.68
4/13/2020,117.26,117.73,117.89,114.25
4/9/2020,117.6,116.61,118.98,116.31
4/8/2020,115.46,112.58,116.11,111.38
4/7/2020,111.25,114.99,115.73,111.18
4/6/2020,111.14,106.81,111.92,106.6
4/3/2020,102.93,105.42,106.54,101.55
4/2/2020,106.47,101.99,106.78,101.77
4/1/2020,101.77,102.95,106.39,101.17
3/31/2020,107.37,108.41,110.16,106.63
3/30/2020,109.31,104.62,109.82,104.35
3/27/2020,104.56,105.1,107.92,104.19
3/26/2020,109.27,103.48,109.52,102.18
3/25/2020,102.45,102.09,108.87,99.53
3/24/2020,102.09,96.78,102.64,96.07
3/23/2020,91.73,91.56,94.6,87.65
3/20/2020,92.33,97.68,97.75,91.67
3/19/2020,97.12,99.05,100.36,95.08
3/18/2020,100.23,96.22,103.5,96.21
3/17/2020,103.23,97.38,103.95,93.98
3/16/2020,95.9,94.85,103.96,91.95
3/13/2020,104.49,105.19,105.66,97.57
3/12/2020,99.51,106.13,106.28,99
3/11/2020,114.18,117.13,118.65,112.65
3/10/2020,120.77,118.84,120.87,112.04
3/9/2020,114.03,116.3,118.48,113.52
3/6/2020,123.63,122.63,124.21,120.52
